rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.7297297297297297	0.8571428571428571	0.9863013698630136	0.5	0.23529411764705882	0.642857142857	0.757894736842	0.666666666667	0.8	0.857142857143	0.986301369863	0.5	0.235294117647	0.734693877551	0.857142857143	0.571428571429	0.363636363636	21	73	20	34
1	0.7432432432432432	0.8076923076923077	0.972972972972973	0.42857142857142855	0.2962962962962963	0.807692307692	0.75	0.9	0.5	0.807692307692	0.972972972973	0.428571428571	0.296296296296	0.807692307692	0.847058823529	0.58064516129	0.372093023256	26	74	21	27
2	0.8040540540540541	0.9117647058823529	0.9583333333333334	0.5294117647058824	0.4	0.861111111111	0.851851851852	0.6	0.625	0.911764705882	0.958333333333	0.529411764706	0.4	0.885714285714	0.901960784314	0.5625	0.487804878049	34	72	17	25
3	0.8040540540540541	0.9285714285714286	0.9753086419753086	0.4375	0.30434782608695654	0.742857142857	0.849462365591	0.777777777778	0.636363636364	0.928571428571	0.975308641975	0.4375	0.304347826087	0.825396825397	0.908045977011	0.56	0.411764705882	28	81	16	23
4	0.7432432432432432	0.9230769230769231	0.9571428571428572	0.5555555555555556	0.2647058823529412	0.8	0.779069767442	0.555555555556	0.642857142857	0.923076923077	0.957142857143	0.555555555556	0.264705882353	0.857142857143	0.858974358974	0.555555555556	0.375	26	70	18	34
5	0.7432432432432432	0.8095238095238095	0.9473684210526315	0.5238095238095238	0.3333333333333333	0.653846153846	0.808988764045	0.647058823529	0.625	0.809523809524	0.947368421053	0.52380952381	0.333333333333	0.723404255319	0.872727272727	0.578947368421	0.434782608696	21	76	21	30
6	0.75	0.8333333333333334	0.8933333333333333	0.4117647058823529	0.46153846153846156	0.833333333333	0.788235294118	0.777777777778	0.5	0.833333333333	0.893333333333	0.411764705882	0.461538461538	0.833333333333	0.8375	0.538461538462	0.48	30	75	17	26
7	0.7567567567567568	0.9	0.9552238805970149	0.7368421052631579	0.21875	0.75	0.771084337349	0.823529411765	0.583333333333	0.9	0.955223880597	0.736842105263	0.21875	0.818181818182	0.853333333333	0.777777777778	0.318181818182	30	67	19	32
8	0.7972972972972973	0.8518518518518519	0.974025974025974	0.5263157894736842	0.4	0.884615384615	0.806451612903	0.769230769231	0.625	0.851851851852	0.974025974026	0.526315789474	0.4	0.867924528302	0.882352941176	0.625	0.487804878049	27	77	19	25
9	0.8378378378378378	0.8148148148148148	1.0	0.4444444444444444	0.55	0.916666666667	0.84693877551	0.888888888889	0.647058823529	0.814814814815	1.0	0.444444444444	0.55	0.862745098039	0.917127071823	0.592592592593	0.594594594595	27	83	18	20
10	0.6959459459459459	0.7407407407407407	0.9594594594594594	0.12	0.4090909090909091	0.869565217391	0.731958762887	1.0	0.36	0.740740740741	0.959459459459	0.12	0.409090909091	0.8	0.830409356725	0.214285714286	0.382978723404	27	74	25	22
11	0.7702702702702703	0.8214285714285714	0.9746835443037974	0.6	0.19230769230769232	0.851851851852	0.77	0.642857142857	0.714285714286	0.821428571429	0.974683544304	0.6	0.192307692308	0.836363636364	0.860335195531	0.620689655172	0.30303030303	28	79	15	26
12	0.7297297297297297	0.7777777777777778	0.9726027397260274	0.6428571428571429	0.20588235294117646	0.84	0.747368421053	0.5	0.7	0.777777777778	0.972602739726	0.642857142857	0.205882352941	0.807692307692	0.845238095238	0.5625	0.318181818182	27	73	14	34
13	0.777027027027027	0.8	0.9866666666666667	0.47058823529411764	0.34615384615384615	0.888888888889	0.778947368421	0.615384615385	0.692307692308	0.8	0.986666666667	0.470588235294	0.346153846154	0.842105263158	0.870588235294	0.533333333333	0.461538461538	30	75	17	26
14	0.7364864864864865	0.8	0.972972972972973	0.5714285714285714	0.2571428571428571	0.8	0.757894736842	0.5	0.75	0.8	0.972972972973	0.571428571429	0.257142857143	0.8	0.852071005917	0.533333333333	0.382978723404	25	74	14	35
15	0.7567567567567568	0.8214285714285714	0.9855072463768116	0.5	0.36363636363636365	0.851851851852	0.723404255319	0.9	0.705882352941	0.821428571429	0.985507246377	0.5	0.363636363636	0.836363636364	0.834355828221	0.642857142857	0.48	28	69	18	33
16	0.7364864864864865	0.7407407407407407	0.9459459459459459	0.47058823529411764	0.36666666666666664	0.833333333333	0.752688172043	0.666666666667	0.578947368421	0.740740740741	0.945945945946	0.470588235294	0.366666666667	0.78431372549	0.838323353293	0.551724137931	0.448979591837	27	74	17	30
17	0.7364864864864865	0.8333333333333334	0.9428571428571428	0.47058823529411764	0.3225806451612903	0.806451612903	0.776470588235	0.666666666667	0.5	0.833333333333	0.942857142857	0.470588235294	0.322580645161	0.819672131148	0.851612903226	0.551724137931	0.392156862745	30	70	17	31
18	0.7162162162162162	0.8620689655172413	0.9833333333333333	0.4583333333333333	0.3142857142857143	0.757575757576	0.710843373494	0.846153846154	0.578947368421	0.862068965517	0.983333333333	0.458333333333	0.314285714286	0.806451612903	0.825174825175	0.594594594595	0.407407407407	29	60	24	35
19	0.75	0.7777777777777778	0.9452054794520548	0.6875	0.3125	0.84	0.734042553191	0.916666666667	0.588235294118	0.777777777778	0.945205479452	0.6875	0.3125	0.807692307692	0.826347305389	0.785714285714	0.408163265306	27	73	16	32
20	0.7027027027027027	0.8095238095238095	0.9577464788732394	0.43478260869565216	0.2727272727272727	0.62962962963	0.76404494382	0.833333333333	0.45	0.809523809524	0.957746478873	0.434782608696	0.272727272727	0.708333333333	0.85	0.571428571429	0.339622641509	21	71	23	33
21	0.7162162162162162	0.896551724137931	0.9577464788732394	0.375	0.1875	0.928571428571	0.715789473684	0.428571428571	0.545454545455	0.896551724138	0.957746478873	0.375	0.1875	0.912280701754	0.819277108434	0.4	0.279069767442	29	71	16	32
