rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.7432432432432432	0.8181818181818182	0.948051948051948	0.5238095238095238	0.2857142857142857	0.692307692308	0.784946236559	0.846153846154	0.5	0.818181818182	0.948051948052	0.52380952381	0.285714285714	0.75	0.858823529412	0.647058823529	0.363636363636	22	77	21	28
1	0.777027027027027	0.7916666666666666	0.9651162790697675	0.5	0.22727272727272727	0.826086956522	0.821782178218	0.615384615385	0.454545454545	0.791666666667	0.96511627907	0.5	0.227272727273	0.808510638298	0.887700534759	0.551724137931	0.30303030303	24	86	16	22
2	0.7635135135135135	0.85	0.9859154929577465	0.4583333333333333	0.45454545454545453	0.739130434783	0.786516853933	0.733333333333	0.714285714286	0.85	0.985915492958	0.458333333333	0.454545454545	0.790697674419	0.875	0.564102564103	0.555555555556	20	71	24	33
3	0.7972972972972973	0.9166666666666666	0.9620253164556962	0.6875	0.3103448275862069	0.785714285714	0.826086956522	0.785714285714	0.642857142857	0.916666666667	0.962025316456	0.6875	0.310344827586	0.846153846154	0.888888888889	0.733333333333	0.418604651163	24	79	16	29
4	0.777027027027027	0.8846153846153846	0.9473684210526315	0.5263157894736842	0.37037037037037035	0.766666666667	0.847058823529	0.666666666667	0.555555555556	0.884615384615	0.947368421053	0.526315789474	0.37037037037	0.821428571429	0.894409937888	0.588235294118	0.444444444444	26	76	19	27
5	0.7162162162162162	0.9411764705882353	0.9324324324324325	0.43478260869565216	0.3235294117647059	0.695652173913	0.766666666667	0.714285714286	0.52380952381	0.941176470588	0.932432432432	0.434782608696	0.323529411765	0.8	0.841463414634	0.540540540541	0.4	17	74	23	34
6	0.7635135135135135	0.84	0.9577464788732394	0.4	0.5185185185185185	0.777777777778	0.772727272727	1.0	0.608695652174	0.84	0.957746478873	0.4	0.518518518519	0.807692307692	0.85534591195	0.571428571429	0.56	25	71	25	27
7	0.7364864864864865	0.7777777777777778	0.958904109589041	0.45	0.32142857142857145	0.807692307692	0.777777777778	0.75	0.45	0.777777777778	0.958904109589	0.45	0.321428571429	0.792452830189	0.858895705521	0.5625	0.375	27	73	20	28
8	0.8243243243243243	0.8695652173913043	0.9555555555555556	0.5	0.42857142857142855	0.714285714286	0.877551020408	0.777777777778	0.692307692308	0.869565217391	0.955555555556	0.5	0.428571428571	0.78431372549	0.914893617021	0.608695652174	0.529411764706	23	90	14	21
9	0.7432432432432432	0.7894736842105263	0.9565217391304348	0.5	0.24	0.882352941176	0.725274725275	0.533333333333	0.75	0.789473684211	0.95652173913	0.5	0.24	0.833333333333	0.825	0.516129032258	0.363636363636	38	69	16	25
10	0.7432432432432432	0.8095238095238095	0.9452054794520548	0.4782608695652174	0.41935483870967744	0.772727272727	0.775280898876	0.785714285714	0.565217391304	0.809523809524	0.945205479452	0.478260869565	0.41935483871	0.790697674419	0.851851851852	0.594594594595	0.481481481481	21	73	23	31
11	0.8108108108108109	0.875	1.0	0.4444444444444444	0.4166666666666667	0.875	0.813186813187	0.8	0.666666666667	0.875	1.0	0.444444444444	0.416666666667	0.875	0.89696969697	0.571428571429	0.512820512821	32	74	18	24
12	0.8040540540540541	0.76	0.9871794871794872	0.5	0.52	0.863636363636	0.79381443299	0.909090909091	0.722222222222	0.76	0.987179487179	0.5	0.52	0.808510638298	0.88	0.645161290323	0.604651162791	25	78	20	25
13	0.7905405405405406	0.7619047619047619	0.9876543209876543	0.5555555555555556	0.39285714285714285	0.8	0.842105263158	0.588235294118	0.6875	0.761904761905	0.987654320988	0.555555555556	0.392857142857	0.780487804878	0.909090909091	0.571428571429	0.5	21	81	18	28
14	0.777027027027027	0.9259259259259259	0.9861111111111112	0.75	0.21212121212121213	0.833333333333	0.806818181818	0.521739130435	1.0	0.925925925926	0.986111111111	0.75	0.212121212121	0.877192982456	0.8875	0.615384615385	0.35	27	72	16	33
15	0.7364864864864865	0.7142857142857143	0.971830985915493	0.45	0.3793103448275862	0.833333333333	0.726315789474	0.642857142857	0.733333333333	0.714285714286	0.971830985915	0.45	0.379310344828	0.769230769231	0.831325301205	0.529411764706	0.5	28	71	20	29
16	0.7837837837837838	0.8888888888888888	0.9594594594594594	0.4375	0.45161290322580644	1.0	0.788888888889	0.583333333333	0.636363636364	0.888888888889	0.959459459459	0.4375	0.451612903226	0.941176470588	0.865853658537	0.5	0.528301886792	27	74	16	31
17	0.7702702702702703	0.9	0.9733333333333334	0.5555555555555556	0.37142857142857144	0.692307692308	0.802197802198	0.769230769231	0.722222222222	0.9	0.973333333333	0.555555555556	0.371428571429	0.782608695652	0.879518072289	0.645161290323	0.490566037736	20	75	18	35
18	0.7635135135135135	0.7941176470588235	0.9577464788732394	0.5333333333333333	0.35714285714285715	0.84375	0.781609195402	0.666666666667	0.588235294118	0.794117647059	0.957746478873	0.533333333333	0.357142857143	0.818181818182	0.860759493671	0.592592592593	0.444444444444	34	71	15	28
19	0.722972972972973	0.6538461538461539	0.9342105263157895	0.55	0.3076923076923077	0.809523809524	0.771739130435	0.6875	0.421052631579	0.653846153846	0.934210526316	0.55	0.307692307692	0.723404255319	0.845238095238	0.611111111111	0.355555555556	26	76	20	26
20	0.777027027027027	0.8076923076923077	0.9629629629629629	0.4	0.38095238095238093	0.777777777778	0.838709677419	0.8	0.444444444444	0.807692307692	0.962962962963	0.4	0.380952380952	0.792452830189	0.896551724138	0.533333333333	0.410256410256	26	81	20	21
21	0.7635135135135135	0.875	0.9473684210526315	0.4166666666666667	0.4166666666666667	0.807692307692	0.791208791209	0.909090909091	0.5	0.875	0.947368421053	0.416666666667	0.416666666667	0.84	0.862275449102	0.571428571429	0.454545454545	24	76	24	24
22	0.7702702702702703	0.8333333333333334	0.9726027397260274	0.47368421052631576	0.34615384615384615	0.78125	0.816091954023	0.818181818182	0.5	0.833333333333	0.972602739726	0.473684210526	0.346153846154	0.806451612903	0.8875	0.6	0.409090909091	30	73	19	26
23	0.7972972972972973	0.8888888888888888	0.9866666666666667	0.47619047619047616	0.4	0.75	0.822222222222	1.0	0.625	0.888888888889	0.986666666667	0.47619047619	0.4	0.813559322034	0.89696969697	0.645161290323	0.487804878049	27	75	21	25
24	0.7297297297297297	0.8148148148148148	0.9583333333333334	0.5333333333333333	0.2647058823529412	0.785714285714	0.793103448276	0.5	0.529411764706	0.814814814815	0.958333333333	0.533333333333	0.264705882353	0.8	0.867924528302	0.516129032258	0.352941176471	27	72	15	34
25	0.7635135135135135	0.7931034482758621	0.948051948051948	0.35	0.45454545454545453	0.92	0.79347826087	0.777777777778	0.454545454545	0.793103448276	0.948051948052	0.35	0.454545454545	0.851851851852	0.863905325444	0.48275862069	0.454545454545	29	77	20	22
26	0.7635135135135135	0.8571428571428571	0.9875	0.3888888888888889	0.3103448275862069	0.692307692308	0.822916666667	0.777777777778	0.529411764706	0.857142857143	0.9875	0.388888888889	0.310344827586	0.765957446809	0.897727272727	0.518518518519	0.391304347826	21	80	18	29
27	0.7837837837837838	0.8214285714285714	0.974025974025974	0.6111111111111112	0.28	0.793103448276	0.797872340426	0.846153846154	0.583333333333	0.821428571429	0.974025974026	0.611111111111	0.28	0.80701754386	0.877192982456	0.709677419355	0.378378378378	28	77	18	25
28	0.7837837837837838	0.8620689655172413	0.961038961038961	0.5625	0.3076923076923077	0.78125	0.822222222222	0.75	0.571428571429	0.862068965517	0.961038961039	0.5625	0.307692307692	0.819672131148	0.88622754491	0.642857142857	0.4	29	77	16	26
