rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.7181208053691275	0.8181818181818182	0.9594594594594594	0.29411764705882354	0.16	0.9	0.7029702970297029	0.5	0.5	0.8181818181818182	0.9594594594594594	0.29411764705882354	0.16	0.8571428571428572	0.8114285714285714	0.37037037037037035	0.24242424242424243	33	74	17	25
1	0.7248322147651006	0.8181818181818182	0.9594594594594594	0.4117647058823529	0.12	0.8709677419354839	0.7395833333333334	0.4666666666666667	0.42857142857142855	0.8181818181818182	0.9594594594594594	0.4117647058823529	0.12	0.84375	0.835294117647059	0.43749999999999994	0.1875	33	74	17	25
2	0.7114093959731543	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.12	0.9629629629629629	0.7029702970297029	0.4	0.5	0.7878787878787878	0.9594594594594594	0.35294117647058826	0.12	0.8666666666666665	0.8114285714285714	0.37500000000000006	0.1935483870967742	33	74	17	25
3	0.738255033557047	0.7575757575757576	0.9594594594594594	0.5294117647058824	0.2	0.9615384615384616	0.71	0.6428571428571429	0.5555555555555556	0.7575757575757576	0.9594594594594594	0.5294117647058824	0.2	0.8474576271186441	0.8160919540229885	0.5806451612903226	0.29411764705882354	33	74	17	25
4	0.7046979865771812	0.696969696969697	0.9864864864864865	0.4117647058823529	0.08	0.8846153846153846	0.6697247706422018	0.7777777777777778	0.4	0.696969696969697	0.9864864864864865	0.4117647058823529	0.08	0.7796610169491526	0.7978142076502732	0.5384615384615384	0.13333333333333333	33	74	17	25
5	0.7583892617449665	0.8787878787878788	0.972972972972973	0.47058823529411764	0.16	0.9354838709677419	0.6990291262135923	0.8888888888888888	0.6666666666666666	0.8787878787878788	0.972972972972973	0.47058823529411764	0.16	0.90625	0.8135593220338985	0.6153846153846153	0.25806451612903225	33	74	17	25
6	0.785234899328859	0.8787878787878788	0.972972972972973	0.5882352941176471	0.24	0.90625	0.7659574468085106	0.7142857142857143	0.6666666666666666	0.8787878787878788	0.972972972972973	0.5882352941176471	0.24	0.8923076923076922	0.8571428571428571	0.6451612903225806	0.3529411764705882	33	74	17	25
7	0.7651006711409396	0.9393939393939394	0.972972972972973	0.4117647058823529	0.16	0.96875	0.72	0.875	0.4444444444444444	0.9393939393939394	0.972972972972973	0.4117647058823529	0.16	0.9538461538461539	0.8275862068965518	0.56	0.23529411764705882	33	74	17	25
8	0.7516778523489933	0.8787878787878788	0.9459459459459459	0.47058823529411764	0.2	0.9666666666666667	0.7526881720430108	0.5714285714285714	0.4166666666666667	0.8787878787878788	0.9459459459459459	0.47058823529411764	0.2	0.9206349206349207	0.8383233532934132	0.5161290322580646	0.2702702702702703	33	74	17	25
9	0.7583892617449665	0.9090909090909091	0.972972972972973	0.5294117647058824	0.08	0.9090909090909091	0.7058823529411765	0.9	0.5	0.9090909090909091	0.972972972972973	0.5294117647058824	0.08	0.9090909090909091	0.8181818181818183	0.6666666666666667	0.13793103448275865	33	74	17	25
