rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.7972972972972973	0.8888888888888888	0.9746835443037974	0.4090909090909091	0.4	0.888888888889	0.846153846154	0.9	0.4	0.888888888889	0.974683544304	0.409090909091	0.4	0.888888888889	0.905882352941	0.5625	0.4	27	79	22	20
1	0.7432432432432432	0.6666666666666666	0.987012987012987	0.4375	0.3548387096774194	0.8	0.752475247525	0.7	0.647058823529	0.666666666667	0.987012987013	0.4375	0.354838709677	0.727272727273	0.85393258427	0.538461538462	0.458333333333	24	77	16	31
2	0.7432432432432432	0.7727272727272727	0.92	0.5454545454545454	0.41379310344827586	0.708333333333	0.821428571429	0.666666666667	0.545454545455	0.772727272727	0.92	0.545454545455	0.413793103448	0.739130434783	0.867924528302	0.6	0.470588235294	22	75	22	29
3	0.8040540540540541	0.7419354838709677	0.961038961038961	0.7142857142857143	0.46153846153846156	0.884615384615	0.795698924731	1.0	0.631578947368	0.741935483871	0.961038961039	0.714285714286	0.461538461538	0.80701754386	0.870588235294	0.833333333333	0.533333333333	31	77	14	26
4	0.7162162162162162	0.8695652173913043	1.0	0.45	0.17647058823529413	0.869565217391	0.71	0.642857142857	0.545454545455	0.869565217391	1.0	0.45	0.176470588235	0.869565217391	0.830409356725	0.529411764706	0.266666666667	23	71	20	34
5	0.7905405405405406	0.9583333333333334	0.9078947368421053	0.5454545454545454	0.5	0.741935483871	0.821428571429	1.0	0.619047619048	0.958333333333	0.907894736842	0.545454545455	0.5	0.836363636364	0.8625	0.705882352941	0.553191489362	24	76	22	26
6	0.7364864864864865	0.7857142857142857	0.9696969696969697	0.5909090909090909	0.3125	0.814814814815	0.711111111111	0.684210526316	0.833333333333	0.785714285714	0.969696969697	0.590909090909	0.3125	0.8	0.820512820513	0.634146341463	0.454545454545	28	66	22	32
7	0.75	0.8666666666666667	0.9714285714285714	0.6111111111111112	0.2	0.838709677419	0.755555555556	0.647058823529	0.6	0.866666666667	0.971428571429	0.611111111111	0.2	0.852459016393	0.85	0.628571428571	0.3	30	70	18	30
8	0.7432432432432432	0.782608695652174	0.9629629629629629	0.4	0.25	0.692307692308	0.821052631579	0.615384615385	0.428571428571	0.782608695652	0.962962962963	0.4	0.25	0.734693877551	0.886363636364	0.484848484848	0.315789473684	23	81	20	24
9	0.7432432432432432	0.8260869565217391	0.9459459459459459	0.43478260869565216	0.39285714285714285	0.826086956522	0.752688172043	1.0	0.5	0.826086956522	0.945945945946	0.434782608696	0.392857142857	0.826086956522	0.838323353293	0.606060606061	0.44	23	74	23	28
10	0.7635135135135135	0.8275862068965517	0.971830985915493	0.45	0.39285714285714285	0.8	0.811764705882	0.75	0.52380952381	0.827586206897	0.971830985915	0.45	0.392857142857	0.813559322034	0.884615384615	0.5625	0.448979591837	29	71	20	28
11	0.7162162162162162	0.7931034482758621	0.921875	0.7777777777777778	0.2702702702702703	0.821428571429	0.719512195122	0.56	0.769230769231	0.793103448276	0.921875	0.777777777778	0.27027027027	0.80701754386	0.808219178082	0.651162790698	0.4	29	64	18	37
12	0.7635135135135135	0.9	0.9710144927536232	0.5	0.3225806451612903	0.870967741935	0.797619047619	0.5625	0.588235294118	0.9	0.971014492754	0.5	0.322580645161	0.885245901639	0.875816993464	0.529411764706	0.416666666667	30	69	18	31
