rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.6756756756756757	0.7777777777777778	0.9365079365079365	0.3333333333333333	0.22580645161290322	0.875	0.686046511628	0.4	0.466666666667	0.777777777778	0.936507936508	0.333333333333	0.225806451613	0.823529411765	0.791946308725	0.363636363636	0.304347826087	36	63	18	31
1	0.777027027027027	0.8076923076923077	0.9452054794520548	0.43478260869565216	0.5769230769230769	0.954545454545	0.793103448276	0.833333333333	0.555555555556	0.807692307692	0.945205479452	0.434782608696	0.576923076923	0.875	0.8625	0.571428571429	0.566037735849	26	73	23	26
2	0.7837837837837838	0.8787878787878788	0.9857142857142858	0.5555555555555556	0.2962962962962963	0.828571428571	0.802325581395	0.666666666667	0.666666666667	0.878787878788	0.985714285714	0.555555555556	0.296296296296	0.852941176471	0.884615384615	0.606060606061	0.410256410256	33	70	18	27
3	0.7567567567567568	0.8	0.9367088607594937	0.35294117647058826	0.36363636363636365	0.8	0.822222222222	0.666666666667	0.421052631579	0.8	0.936708860759	0.352941176471	0.363636363636	0.8	0.87573964497	0.461538461538	0.390243902439	30	79	17	22
4	0.7837837837837838	0.8636363636363636	0.975609756097561	0.6363636363636364	0.30303030303030304	0.76	0.842105263158	0.538461538462	0.666666666667	0.863636363636	0.975609756098	0.636363636364	0.30303030303	0.808510638298	0.90395480226	0.583333333333	0.416666666667	22	82	11	33
5	0.7635135135135135	0.8529411764705882	0.9710144927536232	0.47058823529411764	0.32142857142857145	0.852941176471	0.752808988764	0.727272727273	0.642857142857	0.852941176471	0.971014492754	0.470588235294	0.321428571429	0.852941176471	0.848101265823	0.571428571429	0.428571428571	34	69	17	28
6	0.7567567567567568	0.84	0.922077922077922	0.47619047619047616	0.4	0.75	0.797752808989	0.909090909091	0.5	0.84	0.922077922078	0.47619047619	0.4	0.792452830189	0.855421686747	0.625	0.444444444444	25	77	21	25
7	0.8040540540540541	0.9032258064516129	1.0	0.625	0.2857142857142857	0.965517241379	0.79347826087	0.666666666667	0.666666666667	0.903225806452	1.0	0.625	0.285714285714	0.933333333333	0.884848484848	0.645161290323	0.4	31	73	16	28
8	0.7297297297297297	0.7931034482758621	0.9726027397260274	0.3157894736842105	0.2962962962962963	0.821428571429	0.731958762887	0.857142857143	0.5	0.793103448276	0.972602739726	0.315789473684	0.296296296296	0.80701754386	0.835294117647	0.461538461538	0.372093023256	29	73	19	27
9	0.7702702702702703	0.8846153846153846	0.935064935064935	0.5333333333333333	0.36666666666666664	0.821428571429	0.774193548387	0.8	0.647058823529	0.884615384615	0.935064935065	0.533333333333	0.366666666667	0.851851851852	0.847058823529	0.64	0.468085106383	26	77	15	30
