rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.777027027027027	0.8421052631578947	0.9746835443037974	0.5	0.39285714285714285	0.8	0.827956989247	0.733333333333	0.55	0.842105263158	0.974683544304	0.5	0.392857142857	0.820512820513	0.895348837209	0.594594594595	0.458333333333	19	79	22	28
1	0.7905405405405406	0.9615384615384616	0.9736842105263158	0.38095238095238093	0.4	0.78125	0.831460674157	0.888888888889	0.555555555556	0.961538461538	0.973684210526	0.380952380952	0.4	0.862068965517	0.89696969697	0.533333333333	0.46511627907	26	76	21	25
2	0.7567567567567568	0.8888888888888888	0.9642857142857143	0.5	0.25	0.727272727273	0.794117647059	0.636363636364	0.615384615385	0.888888888889	0.964285714286	0.5	0.25	0.8	0.870967741935	0.56	0.355555555556	18	84	14	32
3	0.7635135135135135	0.8260869565217391	0.9459459459459459	0.47619047619047616	0.4666666666666667	0.863636363636	0.804597701149	0.769230769231	0.538461538462	0.826086956522	0.945945945946	0.47619047619	0.466666666667	0.844444444444	0.869565217391	0.588235294118	0.5	23	74	21	30
4	0.7162162162162162	0.8333333333333334	0.9696969696969697	0.42857142857142855	0.25806451612903225	0.78125	0.735632183908	0.642857142857	0.533333333333	0.833333333333	0.969696969697	0.428571428571	0.258064516129	0.806451612903	0.83660130719	0.514285714286	0.347826086957	30	66	21	31
5	0.8040540540540541	0.875	0.9871794871794872	0.5294117647058824	0.41379310344827586	0.777777777778	0.827956989247	0.818181818182	0.705882352941	0.875	0.987179487179	0.529411764706	0.413793103448	0.823529411765	0.900584795322	0.642857142857	0.521739130435	24	78	17	29
6	0.6891891891891891	0.7931034482758621	0.9393939393939394	0.36363636363636365	0.2903225806451613	0.851851851852	0.704545454545	0.571428571429	0.473684210526	0.793103448276	0.939393939394	0.363636363636	0.290322580645	0.821428571429	0.805194805195	0.444444444444	0.36	29	66	22	31
7	0.8040540540540541	0.84	0.975	0.4444444444444444	0.48	0.724137931034	0.847826086957	0.888888888889	0.666666666667	0.84	0.975	0.444444444444	0.48	0.777777777778	0.906976744186	0.592592592593	0.558139534884	25	80	18	25
8	0.7432432432432432	0.8846153846153846	0.9452054794520548	0.6875	0.21212121212121213	0.793103448276	0.775280898876	0.578947368421	0.636363636364	0.884615384615	0.945205479452	0.6875	0.212121212121	0.836363636364	0.851851851852	0.628571428571	0.318181818182	26	73	16	33
9	0.7297297297297297	0.7741935483870968	0.9078947368421053	0.7333333333333333	0.15384615384615385	0.8	0.802325581395	0.55	0.333333333333	0.774193548387	0.907894736842	0.733333333333	0.153846153846	0.786885245902	0.851851851852	0.628571428571	0.210526315789	31	76	15	26
10	0.7094594594594594	0.8	0.9428571428571428	0.2727272727272727	0.34615384615384615	0.857142857143	0.733333333333	0.666666666667	0.428571428571	0.8	0.942857142857	0.272727272727	0.346153846154	0.827586206897	0.825	0.387096774194	0.382978723404	30	70	22	26
11	0.7432432432432432	0.8636363636363636	0.9868421052631579	0.35	0.3	0.76	0.773195876289	0.777777777778	0.529411764706	0.863636363636	0.986842105263	0.35	0.3	0.808510638298	0.867052023121	0.48275862069	0.382978723404	22	76	20	30
12	0.7905405405405406	0.8076923076923077	0.9473684210526315	0.45454545454545453	0.5833333333333334	0.875	0.827586206897	0.769230769231	0.583333333333	0.807692307692	0.947368421053	0.454545454545	0.583333333333	0.84	0.883435582822	0.571428571429	0.583333333333	26	76	22	24
13	0.7567567567567568	0.8846153846153846	0.9487179487179487	0.5384615384615384	0.25806451612903225	0.821428571429	0.840909090909	0.318181818182	0.8	0.884615384615	0.948717948718	0.538461538462	0.258064516129	0.851851851852	0.89156626506	0.4	0.390243902439	26	78	13	31
14	0.75	0.8064516129032258	1.0	0.3333333333333333	0.32	0.925925925926	0.731958762887	1.0	0.470588235294	0.806451612903	1.0	0.333333333333	0.32	0.862068965517	0.845238095238	0.5	0.380952380952	31	71	21	25
15	0.722972972972973	0.7647058823529411	0.9206349206349206	0.6111111111111112	0.36363636363636365	0.8125	0.716049382716	0.647058823529	0.666666666667	0.764705882353	0.920634920635	0.611111111111	0.363636363636	0.787878787879	0.805555555556	0.628571428571	0.470588235294	34	63	18	33
16	0.7432432432432432	0.75	0.9358974358974359	0.375	0.38461538461538464	0.777777777778	0.776595744681	0.545454545455	0.625	0.75	0.935897435897	0.375	0.384615384615	0.763636363636	0.848837209302	0.444444444444	0.47619047619	28	78	16	26
17	0.7972972972972973	0.8888888888888888	0.9493670886075949	0.5	0.4090909090909091	0.827586206897	0.824175824176	0.909090909091	0.529411764706	0.888888888889	0.949367088608	0.5	0.409090909091	0.857142857143	0.882352941176	0.645161290323	0.461538461538	27	79	20	22
18	0.722972972972973	0.75	0.9852941176470589	0.5	0.29411764705882354	0.913043478261	0.683673469388	0.642857142857	0.769230769231	0.75	0.985294117647	0.5	0.294117647059	0.823529411765	0.807228915663	0.5625	0.425531914894	28	68	18	34
19	0.722972972972973	0.9047619047619048	0.9733333333333334	0.35	0.25	0.76	0.752577319588	0.7	0.5	0.904761904762	0.973333333333	0.35	0.25	0.826086956522	0.848837209302	0.466666666667	0.333333333333	21	75	20	32
20	0.7567567567567568	0.92	0.9714285714285714	0.45454545454545453	0.3548387096774194	0.766666666667	0.76404494382	0.909090909091	0.611111111111	0.92	0.971428571429	0.454545454545	0.354838709677	0.836363636364	0.85534591195	0.606060606061	0.448979591837	25	70	22	31
21	0.7027027027027027	0.8	0.9583333333333334	0.47619047619047616	0.16666666666666666	0.869565217391	0.726315789474	0.47619047619	0.555555555556	0.8	0.958333333333	0.47619047619	0.166666666667	0.833333333333	0.826347305389	0.47619047619	0.25641025641	25	72	21	30
