rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.7432432432432432	0.8214285714285714	0.9571428571428572	0.36363636363636365	0.42857142857142855	0.821428571429	0.770114942529	0.888888888889	0.5	0.821428571429	0.957142857143	0.363636363636	0.428571428571	0.821428571429	0.853503184713	0.516129032258	0.461538461538	28	70	22	28
1	0.7635135135135135	0.9117647058823529	0.9850746268656716	0.42857142857142855	0.2692307692307692	0.861111111111	0.776470588235	0.642857142857	0.538461538462	0.911764705882	0.985074626866	0.428571428571	0.269230769231	0.885714285714	0.868421052632	0.514285714286	0.358974358974	34	67	21	26
2	0.7905405405405406	0.8125	0.9125	0.75	0.375	0.896551724138	0.829545454545	0.5625	0.6	0.8125	0.9125	0.75	0.375	0.852459016393	0.869047619048	0.642857142857	0.461538461538	32	80	12	24
3	0.7905405405405406	0.7741935483870968	0.9861111111111112	0.5	0.4782608695652174	0.8	0.816091954023	1.0	0.55	0.774193548387	0.986111111111	0.5	0.478260869565	0.786885245902	0.893081761006	0.666666666667	0.511627906977	31	72	22	23
4	0.7297297297297297	0.8333333333333334	0.9571428571428572	0.5	0.3235294117647059	0.8	0.779069767442	0.5	0.647058823529	0.833333333333	0.957142857143	0.5	0.323529411765	0.816326530612	0.858974358974	0.5	0.43137254902	24	70	20	34
5	0.7567567567567568	0.782608695652174	0.972972972972973	0.43478260869565216	0.42857142857142855	0.75	0.808988764045	0.833333333333	0.521739130435	0.782608695652	0.972972972973	0.434782608696	0.428571428571	0.765957446809	0.883435582822	0.571428571429	0.470588235294	23	74	23	28
6	0.7432432432432432	0.9285714285714286	0.9295774647887324	0.5	0.2903225806451613	0.787878787879	0.795180722892	0.5625	0.5625	0.928571428571	0.929577464789	0.5	0.290322580645	0.852459016393	0.857142857143	0.529411764706	0.382978723404	28	71	18	31
7	0.7432432432432432	0.72	0.9333333333333333	0.6	0.35714285714285715	0.782608695652	0.752688172043	0.857142857143	0.555555555556	0.72	0.933333333333	0.6	0.357142857143	0.75	0.833333333333	0.705882352941	0.434782608696	25	75	20	28
8	0.7297297297297297	0.8076923076923077	0.9315068493150684	0.5625	0.30303030303030304	0.875	0.747252747253	0.642857142857	0.526315789474	0.807692307692	0.931506849315	0.5625	0.30303030303	0.84	0.829268292683	0.6	0.384615384615	26	73	16	33
9	0.7972972972972973	0.8484848484848485	0.9705882352941176	0.5714285714285714	0.46153846153846156	0.933333333333	0.758620689655	0.857142857143	0.705882352941	0.848484848485	0.970588235294	0.571428571429	0.461538461538	0.888888888889	0.851612903226	0.685714285714	0.558139534884	33	68	21	26
10	0.7297297297297297	0.78125	0.9710144927536232	0.45	0.25925925925925924	0.862068965517	0.697916666667	0.9	0.538461538462	0.78125	0.971014492754	0.45	0.259259259259	0.819672131148	0.812121212121	0.6	0.35	32	69	20	27
11	0.722972972972973	0.8636363636363636	0.961038961038961	0.3181818181818182	0.25925925925925924	0.730769230769	0.778947368421	1.0	0.35	0.863636363636	0.961038961039	0.318181818182	0.259259259259	0.791666666667	0.860465116279	0.48275862069	0.297872340426	22	77	22	27
12	0.777027027027027	0.9117647058823529	0.9710144927536232	0.6923076923076923	0.25	0.861111111111	0.797619047619	0.5	0.8	0.911764705882	0.971014492754	0.692307692308	0.25	0.885714285714	0.875816993464	0.58064516129	0.380952380952	34	69	13	32
13	0.6891891891891891	0.6538461538461539	0.9558823529411765	0.42105263157894735	0.34285714285714286	0.708333333333	0.691489361702	0.8	0.6	0.653846153846	0.955882352941	0.421052631579	0.342857142857	0.68	0.802469135802	0.551724137931	0.436363636364	26	68	19	35
14	0.8040540540540541	0.8148148148148148	0.9620253164556962	0.5555555555555556	0.4583333333333333	0.785714285714	0.844444444444	0.909090909091	0.578947368421	0.814814814815	0.962025316456	0.555555555556	0.458333333333	0.8	0.899408284024	0.689655172414	0.511627906977	27	79	18	24
15	0.777027027027027	0.90625	0.971830985915493	0.7857142857142857	0.1935483870967742	0.852941176471	0.811764705882	0.52380952381	0.75	0.90625	0.971830985915	0.785714285714	0.193548387097	0.878787878788	0.884615384615	0.628571428571	0.307692307692	32	71	14	31
16	0.7297297297297297	0.8181818181818182	0.9240506329113924	0.3684210526315789	0.35714285714285715	0.818181818182	0.760416666667	0.7	0.5	0.818181818182	0.924050632911	0.368421052632	0.357142857143	0.818181818182	0.834285714286	0.48275862069	0.416666666667	22	79	19	28
17	0.8243243243243243	0.9117647058823529	0.9305555555555556	0.625	0.5384615384615384	0.837837837838	0.8375	1.0	0.666666666667	0.911764705882	0.930555555556	0.625	0.538461538462	0.87323943662	0.881578947368	0.769230769231	0.595744680851	34	72	16	26
18	0.7702702702702703	0.8260869565217391	0.935064935064935	0.55	0.42857142857142855	0.678571428571	0.837209302326	0.6875	0.666666666667	0.826086956522	0.935064935065	0.55	0.428571428571	0.745098039216	0.883435582822	0.611111111111	0.521739130435	23	77	20	28
19	0.7702702702702703	0.7916666666666666	0.9615384615384616	0.6	0.3548387096774194	0.76	0.815217391304	0.6	0.6875	0.791666666667	0.961538461538	0.6	0.354838709677	0.775510204082	0.882352941176	0.6	0.468085106383	24	78	15	31
20	0.7702702702702703	0.875	0.9594594594594594	0.6111111111111112	0.34375	0.777777777778	0.806818181818	0.6875	0.647058823529	0.875	0.959459459459	0.611111111111	0.34375	0.823529411765	0.876543209877	0.647058823529	0.448979591837	24	74	18	32
21	0.7635135135135135	0.8888888888888888	0.9333333333333333	0.5555555555555556	0.32142857142857145	0.774193548387	0.795454545455	0.714285714286	0.6	0.888888888889	0.933333333333	0.555555555556	0.321428571429	0.827586206897	0.858895705521	0.625	0.418604651163	27	75	18	28
22	0.7635135135135135	0.88	0.948051948051948	0.5555555555555556	0.2857142857142857	0.846153846154	0.829545454545	0.666666666667	0.421052631579	0.88	0.948051948052	0.555555555556	0.285714285714	0.862745098039	0.884848484848	0.606060606061	0.340425531915	25	77	18	28
23	0.8175675675675675	1.0	0.974025974025974	0.625	0.3448275862068966	0.896551724138	0.833333333333	0.769230769231	0.625	1.0	0.974025974026	0.625	0.344827586207	0.945454545455	0.898203592814	0.689655172414	0.444444444444	26	77	16	29
24	0.7364864864864865	0.6086956521739131	0.9848484848484849	0.6153846153846154	0.42424242424242425	0.823529411765	0.730337078652	0.761904761905	0.666666666667	0.608695652174	0.984848484848	0.615384615385	0.424242424242	0.7	0.838709677419	0.68085106383	0.518518518519	23	66	26	33
25	0.722972972972973	0.7777777777777778	0.9850746268656716	0.5263157894736842	0.2857142857142857	0.954545454545	0.717391304348	0.588235294118	0.588235294118	0.777777777778	0.985074626866	0.526315789474	0.285714285714	0.857142857143	0.830188679245	0.555555555556	0.384615384615	27	67	19	35
26	0.722972972972973	0.8461538461538461	0.9714285714285714	0.6111111111111112	0.17647058823529413	0.758620689655	0.790697674419	0.5	0.545454545455	0.846153846154	0.971428571429	0.611111111111	0.176470588235	0.8	0.871794871795	0.55	0.266666666667	26	70	18	34
27	0.722972972972973	0.6521739130434783	0.9259259259259259	0.5	0.3076923076923077	0.75	0.78125	0.642857142857	0.444444444444	0.652173913043	0.925925925926	0.5	0.307692307692	0.697674418605	0.847457627119	0.5625	0.363636363636	23	81	18	26
28	0.7702702702702703	0.8787878787878788	0.9295774647887324	0.5555555555555556	0.34615384615384615	0.878787878788	0.758620689655	0.909090909091	0.529411764706	0.878787878788	0.929577464789	0.555555555556	0.346153846154	0.878787878788	0.835443037975	0.689655172414	0.418604651163	33	71	18	26
29	0.8040540540540541	0.9310344827586207	0.9743589743589743	0.4666666666666667	0.34615384615384615	0.870967741935	0.844444444444	0.583333333333	0.6	0.931034482759	0.974358974359	0.466666666667	0.346153846154	0.9	0.904761904762	0.518518518519	0.439024390244	29	78	15	26
30	0.75	0.8666666666666667	0.9705882352941176	0.47058823529411764	0.3333333333333333	0.866666666667	0.767441860465	0.727272727273	0.52380952381	0.866666666667	0.970588235294	0.470588235294	0.333333333333	0.866666666667	0.857142857143	0.571428571429	0.407407407407	30	68	17	33
