rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.7364864864864865	0.71875	0.9444444444444444	0.5	0.35714285714285715	0.821428571429	0.755555555556	0.5	0.714285714286	0.71875	0.944444444444	0.5	0.357142857143	0.766666666667	0.83950617284	0.5	0.47619047619	32	72	16	28
1	0.777027027027027	0.8181818181818182	0.9512195121951219	0.8461538461538461	0.25806451612903225	0.782608695652	0.829787234043	0.578947368421	0.666666666667	0.818181818182	0.951219512195	0.846153846154	0.258064516129	0.8	0.886363636364	0.6875	0.372093023256	22	82	13	31
2	0.7364864864864865	0.7941176470588235	0.9838709677419355	0.2608695652173913	0.5172413793103449	0.870967741935	0.734939759036	0.857142857143	0.555555555556	0.794117647059	0.983870967742	0.260869565217	0.51724137931	0.830769230769	0.841379310345	0.4	0.535714285714	34	62	23	29
3	0.722972972972973	0.75	0.9864864864864865	0.5384615384615384	0.18181818181818182	0.913043478261	0.71568627451	0.5	0.666666666667	0.75	0.986486486486	0.538461538462	0.181818181818	0.823529411765	0.829545454545	0.518518518519	0.285714285714	28	74	13	33
4	0.7972972972972973	0.7586206896551724	0.9620253164556962	0.5294117647058824	0.4782608695652174	0.846153846154	0.835164835165	0.75	0.578947368421	0.758620689655	0.962025316456	0.529411764706	0.478260869565	0.8	0.894117647059	0.620689655172	0.52380952381	29	79	17	23
5	0.7297297297297297	0.8260869565217391	0.9583333333333334	0.6111111111111112	0.2571428571428571	0.791666666667	0.775280898876	0.611111111111	0.529411764706	0.826086956522	0.958333333333	0.611111111111	0.257142857143	0.808510638298	0.857142857143	0.611111111111	0.346153846154	23	72	18	35
6	0.7635135135135135	0.84	0.948051948051948	0.47368421052631576	0.37037037037037035	0.807692307692	0.820224719101	0.9	0.434782608696	0.84	0.948051948052	0.473684210526	0.37037037037	0.823529411765	0.879518072289	0.620689655172	0.4	25	77	19	27
7	0.7702702702702703	0.8260869565217391	0.9506172839506173	0.4375	0.39285714285714285	0.730769230769	0.836956521739	0.583333333333	0.611111111111	0.826086956522	0.950617283951	0.4375	0.392857142857	0.775510204082	0.890173410405	0.5	0.478260869565	23	81	16	28
8	0.777027027027027	0.8666666666666667	0.9726027397260274	0.4375	0.3793103448275862	0.8125	0.78021978022	0.777777777778	0.6875	0.866666666667	0.972602739726	0.4375	0.379310344828	0.838709677419	0.865853658537	0.56	0.488888888889	30	73	16	29
9	0.7432432432432432	0.8571428571428571	0.9402985074626866	0.5	0.3870967741935484	0.705882352941	0.807692307692	0.733333333333	0.571428571429	0.857142857143	0.940298507463	0.5	0.387096774194	0.774193548387	0.868965517241	0.594594594595	0.461538461538	28	67	22	31
