rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.8053691275167785	0.8484848484848485	0.9594594594594594	0.7647058823529411	0.32	0.9333333333333333	0.7717391304347826	0.7647058823529411	0.8	0.8484848484848485	0.9594594594594594	0.7647058823529411	0.32	0.888888888888889	0.855421686746988	0.7647058823529412	0.45714285714285713	33	74	17	25
1	0.8053691275167785	0.9393939393939394	0.972972972972973	0.5882352941176471	0.28	0.96875	0.782608695652174	0.7692307692307693	0.5833333333333334	0.9393939393939394	0.972972972972973	0.5882352941176471	0.28	0.9538461538461539	0.8674698795180723	0.6666666666666667	0.3783783783783784	33	74	17	25
2	0.8120805369127517	0.9090909090909091	1.0	0.47058823529411764	0.36	0.967741935483871	0.8131868131868132	0.6153846153846154	0.6428571428571429	0.9090909090909091	1.0	0.47058823529411764	0.36	0.9374999999999999	0.896969696969697	0.5333333333333333	0.4615384615384615	33	74	17	25
3	0.7651006711409396	0.7575757575757576	0.9324324324324325	0.6470588235294118	0.36	0.9259259259259259	0.7582417582417582	0.6875	0.6	0.7575757575757576	0.9324324324324325	0.6470588235294118	0.36	0.8333333333333334	0.8363636363636363	0.6666666666666667	0.45	33	74	17	25
4	0.7785234899328859	0.7575757575757576	0.9864864864864865	0.6470588235294118	0.28	1.0	0.7604166666666666	0.6875	0.5833333333333334	0.7575757575757576	0.9864864864864865	0.6470588235294118	0.28	0.8620689655172413	0.8588235294117647	0.6666666666666667	0.3783783783783784	33	74	17	25
5	0.7919463087248322	0.8484848484848485	0.9459459459459459	0.7058823529411765	0.32	1.0	0.7608695652173914	0.75	0.6153846153846154	0.8484848484848485	0.9459459459459459	0.7058823529411765	0.32	0.9180327868852458	0.8433734939759038	0.7272727272727272	0.4210526315789474	33	74	17	25
6	0.785234899328859	0.7878787878787878	0.9864864864864865	0.5882352941176471	0.32	0.9629629629629629	0.776595744680851	0.5882352941176471	0.7272727272727273	0.7878787878787878	0.9864864864864865	0.5882352941176471	0.32	0.8666666666666665	0.8690476190476191	0.5882352941176471	0.4444444444444444	33	74	17	25
7	0.7651006711409396	0.9393939393939394	0.9594594594594594	0.29411764705882354	0.28	0.96875	0.7395833333333334	0.5555555555555556	0.5833333333333334	0.9393939393939394	0.9594594594594594	0.29411764705882354	0.28	0.9538461538461539	0.835294117647059	0.3846153846153846	0.3783783783783784	33	74	17	25
8	0.7919463087248322	0.8787878787878788	0.9864864864864865	0.6470588235294118	0.2	0.9354838709677419	0.7934782608695652	0.6111111111111112	0.625	0.8787878787878788	0.9864864864864865	0.6470588235294118	0.2	0.90625	0.8795180722891566	0.6285714285714287	0.30303030303030304	33	74	17	25
9	0.738255033557047	0.7575757575757576	0.9324324324324325	0.47058823529411764	0.32	0.9615384615384616	0.711340206185567	0.6666666666666666	0.5714285714285714	0.7575757575757576	0.9324324324324325	0.47058823529411764	0.32	0.8474576271186441	0.8070175438596491	0.5517241379310345	0.41025641025641024	33	74	17	25
10	0.8187919463087249	0.9090909090909091	0.972972972972973	0.7647058823529411	0.28	0.967741935483871	0.8	0.8125	0.5833333333333334	0.9090909090909091	0.972972972972973	0.7647058823529411	0.28	0.9374999999999999	0.8780487804878049	0.787878787878788	0.3783783783783784	33	74	17	25
11	0.785234899328859	0.8181818181818182	0.9459459459459459	0.6470588235294118	0.36	0.9310344827586207	0.7216494845360825	0.9166666666666666	0.8181818181818182	0.8181818181818182	0.9459459459459459	0.6470588235294118	0.36	0.8709677419354839	0.8187134502923976	0.7586206896551724	0.5	33	74	17	25
12	0.825503355704698	0.8787878787878788	0.9864864864864865	0.7058823529411765	0.36	0.9354838709677419	0.8390804597701149	0.6	0.8181818181818182	0.8787878787878788	0.9864864864864865	0.7058823529411765	0.36	0.90625	0.906832298136646	0.6486486486486486	0.5	33	74	17	25
13	0.7718120805369127	0.8787878787878788	0.9459459459459459	0.6470588235294118	0.2	0.8787878787878788	0.7777777777777778	0.6470588235294118	0.5555555555555556	0.8787878787878788	0.9459459459459459	0.6470588235294118	0.2	0.8787878787878788	0.8536585365853658	0.6470588235294118	0.29411764705882354	33	74	17	25
14	0.7651006711409396	0.8484848484848485	0.9054054054054054	0.7058823529411765	0.28	0.875	0.7976190476190477	0.5714285714285714	0.5833333333333334	0.8484848484848485	0.9054054054054054	0.7058823529411765	0.28	0.8615384615384615	0.8481012658227848	0.6315789473684211	0.3783783783783784	33	74	17	25
15	0.7651006711409396	0.8484848484848485	0.9459459459459459	0.5882352941176471	0.24	0.875	0.7692307692307693	0.5263157894736842	0.8571428571428571	0.8484848484848485	0.9459459459459459	0.5882352941176471	0.24	0.8615384615384615	0.8484848484848485	0.5555555555555555	0.375	33	74	17	25
