,symbol,probes,importance,enhancer,['MYCNA'],['MYCNA']_ratio,['MYCNA']_imp,['MYCNA']_imp_ratio,['MYCNA']_enha,['MYCNA']_enha_ratio,['4'],['4']_ratio,['4']_imp,['4']_imp_ratio,['4']_enha,['4']_enha_ratio,['4s'],['4s']_ratio,['4s']_imp,['4s']_imp_ratio,['4s']_enha,['4s']_enha_ratio,['other'],['other']_ratio,['other']_imp,['other']_imp_ratio,['other']_enha,['other']_enha_ratio,"['4', 'MYCNA']","['4', 'MYCNA']_ratio","['4', 'MYCNA']_imp","['4', 'MYCNA']_imp_ratio","['4', 'MYCNA']_enha","['4', 'MYCNA']_enha_ratio"
NM_000873,ICAM2,92.0,47.0,9.0,7.0,0.07608695652173914,2.0,0.0425531914893617,0.0,0.0,25.0,0.2717391304347826,18.0,0.3829787234042553,3.0,0.3333333333333333,23.0,0.25,17.0,0.3617021276595745,4.0,0.4444444444444444,2.0,0.021739130434782608,0.0,0.0,0.0,0.0,19.0,0.20652173913043478,14.0,0.2978723404255319,2.0,0.2222222222222222
NM_001191031,PRR29,92.0,47.0,9.0,7.0,0.07608695652173914,2.0,0.0425531914893617,0.0,0.0,25.0,0.2717391304347826,18.0,0.3829787234042553,3.0,0.3333333333333333,23.0,0.25,17.0,0.3617021276595745,4.0,0.4444444444444444,2.0,0.021739130434782608,0.0,0.0,0.0,0.0,19.0,0.20652173913043478,14.0,0.2978723404255319,2.0,0.2222222222222222
NM_001099789,ICAM2,77.0,38.0,9.0,7.0,0.09090909090909091,2.0,0.05263157894736842,0.0,0.0,20.0,0.2597402597402597,14.0,0.3684210526315789,3.0,0.3333333333333333,18.0,0.23376623376623376,13.0,0.34210526315789475,4.0,0.4444444444444444,2.0,0.025974025974025976,0.0,0.0,0.0,0.0,19.0,0.24675324675324675,14.0,0.3684210526315789,2.0,0.2222222222222222
NM_001099788,ICAM2,77.0,38.0,9.0,7.0,0.09090909090909091,2.0,0.05263157894736842,0.0,0.0,20.0,0.2597402597402597,14.0,0.3684210526315789,3.0,0.3333333333333333,18.0,0.23376623376623376,13.0,0.34210526315789475,4.0,0.4444444444444444,2.0,0.025974025974025976,0.0,0.0,0.0,0.0,19.0,0.24675324675324675,14.0,0.3684210526315789,2.0,0.2222222222222222
NM_001099787,ICAM2,77.0,38.0,9.0,7.0,0.09090909090909091,2.0,0.05263157894736842,0.0,0.0,20.0,0.2597402597402597,14.0,0.3684210526315789,3.0,0.3333333333333333,18.0,0.23376623376623376,13.0,0.34210526315789475,4.0,0.4444444444444444,2.0,0.025974025974025976,0.0,0.0,0.0,0.0,19.0,0.24675324675324675,14.0,0.3684210526315789,2.0,0.2222222222222222
NM_001099786,ICAM2,77.0,38.0,9.0,7.0,0.09090909090909091,2.0,0.05263157894736842,0.0,0.0,20.0,0.2597402597402597,14.0,0.3684210526315789,3.0,0.3333333333333333,18.0,0.23376623376623376,13.0,0.34210526315789475,4.0,0.4444444444444444,2.0,0.025974025974025976,0.0,0.0,0.0,0.0,19.0,0.24675324675324675,14.0,0.3684210526315789,2.0,0.2222222222222222
NM_000334,SCN4A,105.0,51.0,10.0,7.0,0.06666666666666667,2.0,0.0392156862745098,0.0,0.0,28.0,0.26666666666666666,20.0,0.39215686274509803,3.0,0.3,26.0,0.24761904761904763,19.0,0.37254901960784315,5.0,0.5,2.0,0.01904761904761905,0.0,0.0,0.0,0.0,20.0,0.19047619047619047,14.0,0.27450980392156865,2.0,0.2
NM_014229,SLC6A11,31.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,1.0,0.07692307692307693,1.0,1.0,12.0,0.3870967741935484,9.0,0.6923076923076923,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.3548387096774194,11.0,0.8461538461538461,0.0,0.0
NM_001317406,SLC6A11,31.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,1.0,0.07692307692307693,1.0,1.0,12.0,0.3870967741935484,9.0,0.6923076923076923,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.3548387096774194,11.0,0.8461538461538461,0.0,0.0
NM_005408,CCL13,36.0,15.0,2.0,2.0,0.05555555555555555,0.0,0.0,0.0,0.0,15.0,0.4166666666666667,11.0,0.7333333333333333,2.0,1.0,15.0,0.4166666666666667,11.0,0.7333333333333333,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,0.0,0.0
