rep	mean_score	4Amp_score	4Noamp_score	4s_score	other_score	4Amp_precision	4Noamp_precision	4s_precision	other_precision	4Amp_recall	4Noamp_recall	4s_recall	other_recall	4Amp_f1	4Noamp_f1	4s_f1	other_f1	4Amp_support	4Noamp_support	4s_support	other_support
0	0.7432432432432432	0.7916666666666666	0.9594594594594594	0.5789473684210527	0.2903225806451613	0.76	0.731958762887	0.916666666667	0.642857142857	0.791666666667	0.959459459459	0.578947368421	0.290322580645	0.775510204082	0.830409356725	0.709677419355	0.4	24	74	19	31
1	0.7297297297297297	0.8	0.9473684210526315	0.5294117647058824	0.23333333333333334	0.714285714286	0.75	0.75	0.583333333333	0.8	0.947368421053	0.529411764706	0.233333333333	0.754716981132	0.837209302326	0.620689655172	0.333333333333	25	76	17	30
2	0.6959459459459459	0.7692307692307693	0.9714285714285714	0.3684210526315789	0.24242424242424243	0.769230769231	0.701030927835	0.777777777778	0.5	0.769230769231	0.971428571429	0.368421052632	0.242424242424	0.769230769231	0.814371257485	0.5	0.326530612245	26	70	19	33
3	0.75	0.8888888888888888	0.9487179487179487	0.5789473684210527	0.30303030303030304	0.761904761905	0.804347826087	0.5	0.769230769231	0.888888888889	0.948717948718	0.578947368421	0.30303030303	0.820512820513	0.870588235294	0.536585365854	0.434782608696	18	78	19	33
4	0.7364864864864865	0.7666666666666667	0.972972972972973	0.375	0.2857142857142857	0.741935483871	0.765957446809	0.857142857143	0.5	0.766666666667	0.972972972973	0.375	0.285714285714	0.754098360656	0.857142857143	0.521739130435	0.363636363636	30	74	16	28
5	0.7364864864864865	0.8148148148148148	0.958904109589041	0.3684210526315789	0.3448275862068966	0.6875	0.769230769231	0.777777777778	0.625	0.814814814815	0.958904109589	0.368421052632	0.344827586207	0.745762711864	0.853658536585	0.5	0.444444444444	27	73	19	29
6	0.6216216216216216	0.8076923076923077	0.9365079365079365	0.4117647058823529	0.11904761904761904	0.75	0.59595959596	0.5	0.714285714286	0.807692307692	0.936507936508	0.411764705882	0.119047619048	0.777777777778	0.728395061728	0.451612903226	0.204081632653	26	63	17	42
7	0.6891891891891891	0.8695652173913043	0.9864864864864865	0.04	0.3076923076923077	0.740740740741	0.71568627451	1.0	0.444444444444	0.869565217391	0.986486486486	0.04	0.307692307692	0.8	0.829545454545	0.0769230769231	0.363636363636	23	74	25	26
8	0.7567567567567568	0.7857142857142857	0.9620253164556962	0.3157894736842105	0.36363636363636365	0.785714285714	0.791666666667	0.857142857143	0.470588235294	0.785714285714	0.962025316456	0.315789473684	0.363636363636	0.785714285714	0.868571428571	0.461538461538	0.410256410256	28	79	19	22
9	0.777027027027027	0.88	0.9512195121951219	0.8	0.22580645161290322	0.88	0.80412371134	0.470588235294	0.777777777778	0.88	0.951219512195	0.8	0.225806451613	0.88	0.871508379888	0.592592592593	0.35	25	82	10	31
10	0.6486486486486487	0.8148148148148148	0.9848484848484849	0.0	0.36	0.814814814815	0.722222222222	0.0	0.290322580645	0.814814814815	0.984848484848	0.0	0.36	0.814814814815	0.833333333333	0.0	0.321428571429	27	66	30	25
11	0.7094594594594594	0.8461538461538461	0.9459459459459459	0.23809523809523808	0.2962962962962963	0.846153846154	0.736842105263	1.0	0.363636363636	0.846153846154	0.945945945946	0.238095238095	0.296296296296	0.846153846154	0.828402366864	0.384615384615	0.326530612245	26	74	21	27
12	0.7297297297297297	0.76	0.9620253164556962	0.2777777777777778	0.3076923076923077	0.826086956522	0.76	0.833333333333	0.421052631579	0.76	0.962025316456	0.277777777778	0.307692307692	0.791666666667	0.849162011173	0.416666666667	0.355555555556	25	79	18	26
13	0.722972972972973	0.782608695652174	0.9868421052631579	0.22727272727272727	0.3333333333333333	0.75	0.728155339806	1.0	0.5625	0.782608695652	0.986842105263	0.227272727273	0.333333333333	0.765957446809	0.837988826816	0.37037037037	0.418604651163	23	76	22	27
14	0.7297297297297297	0.88	0.9726027397260274	0.35	0.26666666666666666	0.846153846154	0.724489795918	0.7	0.571428571429	0.88	0.972602739726	0.35	0.266666666667	0.862745098039	0.830409356725	0.466666666667	0.363636363636	25	73	20	30
15	0.722972972972973	0.7941176470588235	0.9710144927536232	0.4117647058823529	0.21428571428571427	0.84375	0.690721649485	0.7	0.666666666667	0.794117647059	0.971014492754	0.411764705882	0.214285714286	0.818181818182	0.807228915663	0.518518518519	0.324324324324	34	69	17	28
